  disasm                           seq_num  
str r2, [sp, #4]                     2117
ldr r2, [sp, #8]                     2118
str r3, [r5, #0]                     2119
mov r3, #1                           2120
strb r3, [r5, #20]                   2121
ldr r3, [sp, #4]                     2122
sub r12, r6, #1                      2123
ldr r7, [pc, #272]                   2124
add r4, r0, #1184                    2125
add r4, r4, r12                      2126
and r4, r4, r3                       2127
add r3, r4, fp                       2128
mov r0, r3                           2129
str r3, [r5, #16]                    2130
bl                                   2131
str_uop r0, [sp, #12]                2133
str_uop r4, [sp, #8]                 2134
str_uop lr, [sp, #4]                 2135
subi_uop sp, sp, #12                 2136
subs r2, r2, #4                      2137
blt                                  2138
ands r12, r0, #3                     2139
bne                                  2140
ands r12, r1, #3                     2141
bne                                  2142
subs r2, r2, #28                     2143
str_uop r5, [sp, #16]                2144
str_uop r6, [sp, #12]                2145
str_uop r7, [sp, #8]                 2146
str_uop r8, [sp, #4]                 2147
subi_uop sp, sp, #16                 2148
blt                                  2149
ands r12, r2, #28                    2173
rsb r12, r12, #32                    2174
addne pc, pc, r12                    2175
ldr r6, [r1] #4                      2177
addi_uop r1, r1, #4                  2178
ldr r7, [r1] #4                      2179
addi_uop r1, r1, #4                  2180
ldr r8, [r1] #4                      2181
addi_uop r1, r1, #4                  2182
ldr lr, [r1] #4                      2183
addi_uop r1, r1, #4                  2184
add pc, pc, r12                      2185
str r6, [r0] #4                      2202
addi_uop r0, r0, #4                  2203
str r7, [r0] #4                      2204
addi_uop r0, r0, #4                  2205
str r8, [r0] #4                      2206
addi_uop r0, r0, #4                  2207
str lr, [r0] #4                      2208
addi_uop r0, r0, #4                  2209
ldr2_uop r5,r6, [sp, #0]             2210
ldr2_uop r7,r8, [sp, #8]             2211
addi_uop sp, sp, #16                 2212
movs r2, r2, LSL #31                 2213
ldrbne r3, [r1] #1                   2214
addi_uopne r1, r1, #1                2215
ldrbcs r4, [r1] #1                   2216
addi_uopcs r1, r1, #1                2217
ldrbcs r12, [r1, #0]                 2218
strbne r3, [r0] #1                   2219
addi_uopne r0, r0, #1                2220
strbcs r4, [r0] #1                   2221
addi_uopcs r0, r0, #1                2222
strbcs r12, [r0, #0]                 2223
ldr2_uop r0,r4, [sp, #0]             2224
ldr_uop r36, [sp, #8]                2225
addi_uop sp, sp, #12                 2226
uopReg_uop pc, r36                   2227
add r5, r5, #8                       2228
mov r0, r4                           2229
str r5, [r4, #0]                     2230
cmns r0, #4096                       2245
bls                                  2246
ldr r3, [sp, #12]                    2261
ldr r2, [sp, #8]                     2262
ldrb r1, [r9, #404]                  2263
str r3, [r9, #544]                   2264
ldr r3, [pc, #200]                   2265
ldr r0, [pc, #200]                   2266
str r2, [r9, #548]                   2267
mov r2, #1                           2268
str r2, [r3, #0]                     2269
ldr r2, [pc, #188]                   2270
cmps r10, #0                         2271
mov r3, #1                           2272
str r9, [r0, #20]                    2273
str r0, [r2, #0]                     2274
bic r1, r1, #3                       2275
str r10, [r9, #556]                  2276
strb r1, [r9, #404]                  2277
str r3, [r9, #568]                   2278
str r8, [r9, #552]                   2279
add r3, r3, #63                      2280
addeq r10, r10, #1                   2281
str r3, [r0, #0]                     2282
bne                                  2283
add r0, r8, r10                      2286
sub r0, r0, #1                       2287
mov r1, r10                          2288
bl                                   2289
subs r2, r1, #1                      2300
bxeq                                 2301
bcc                                  2314
cmps r0, r1                          2315
bls                                  2316
tsts r1, r2                          2317
beq                                  2318
clz r2, r1                           2319
rsb r2, r2, #31                      2320
mov r0, r0, LSR r2                   2321
bx                                   2322
mov r8, r0                           2323
b                                    2324
mla                                  2325
ldr r2, [pc, #100]                   2326
cmps r6, #16                         2327
movcs r1, r6                         2328
movcc r1, #16                        2329
ldr r3, [r2, #0]                     2330
ldr r2, [pc, #112]                   2331
add r3, r3, #15                      2332
add r3, r3, r0                       2333
str r0, [r2, #0]                     2334
ldr r2, [pc, #100]                   2335
bic r3, r3, #15                      2336
str r1, [r2, #0]                     2337
ldr r2, [pc, #52]                    2338
str r3, [r2, #0]                     2339
ldr r3, [pc, #84]                    2340
mov r2, #1                           2341
str r2, [r3, #0]                     2342
add sp, sp, #20                      2343
ldr2_uop r4,r5, [sp, #0]             2344
ldr2_uop r6,r7, [sp, #8]             2345
ldr2_uop r8,r9, [sp, #16]            2346
ldr2_uop r10,fp, [sp, #24]           2347
ldr_uop r36, [sp, #32]               2348
addi_uop sp, sp, #36                 2349
uopReg_uop pc, r36                   2350
ldr r0, [pc, #496]                   2351
mov r1, #0                           2352
bl                                   2353
ldr r12, [pc, #-40]                  2356
ldr r12, [pc, r12]                   2357
teqs r12, #0                         2358
bne                                  2359
mov r12, r7                          2360
mov r7, #5                           2361
mov r7, r12                          2385
cmns r0, #4096                       2386
bxcc                                 2387
subs r5, r0, #0                      2388
blt                                  2389
mov r2, #4                           2390
add r1, sp, #300                     2391
bl                                   2392
ldr r12, [pc, #-40]                  2406
ldr r12, [pc, r12]                   2407
teqs r12, #0                         2408
bne                                  2409
mov r12, r7                          2410
mov r7, #3                           2411
mov r7, r12                          2456
cmns r0, #4096                       2457
bxcc                                 2458
mov r4, r0                           2459
mov r0, r5                           2460
bl                                   2461
ldr r12, [pc, #-40]                  2473
ldr r12, [pc, r12]                   2474
teqs r12, #0                         2475
bne                                  2476
mov r12, r7                          2477
mov r7, #6                           2478
mov r7, r12                          2526
cmns r0, #4096                       2527
bxcc                                 2528
cmps r4, #4                          2529
ldreq r2, [sp, #300]                 2530
beq                                  2531
ldr r3, [pc, #372]                   2556
cmps r7, #0                          2557
str r2, [r3, #0]                     2558
beq                                  2559
ldr r3, [pc, #316]                   2575
ldr r0, [sp, #8]                     2576
ldr r1, [sp, #4]                     2577
ldr r2, [r3, #0]                     2578
bl                                   2579
ldr r3, [pc, #124]                   2586
str_uop r4, [sp, #16]                2587
str_uop r5, [sp, #12]                2588
